"tagname","longitude","latitude","DateTime","Count"
"A69-9007-6142",-80.79027,28.62344,2022-03-09,8
"A69-9007-6142",-80.79027,28.62344,2022-03-10,7
"A69-9007-6142",-80.79027,28.62344,2022-03-11,1
"A69-9007-6142",-80.79027,28.62344,2022-03-16,1
"A69-9007-6142",-80.79027,28.62344,2022-03-18,2
"A69-9007-6142",-80.79027,28.62344,2022-03-19,16
"A69-9007-6142",-80.79027,28.62344,2022-03-20,2
"A69-9007-6142",-80.79027,28.62344,2022-03-21,1
"A69-9007-6142",-80.79027,28.62344,2022-03-24,1
"A69-9007-6142",-80.79027,28.62344,2022-03-25,3
"A69-9007-6142",-80.79027,28.62344,2022-04-02,35
"A69-9007-6142",-80.79027,28.62344,2022-04-03,24
"A69-9007-6142",-80.79027,28.62344,2022-04-04,11
"A69-9007-6142",-80.79027,28.62344,2022-04-05,1
"A69-9007-6142",-80.79027,28.62344,2022-04-15,5
"A69-9007-6142",-80.79027,28.62344,2022-04-16,5
"A69-9007-6142",-80.79027,28.62344,2022-04-18,23
"A69-9007-6142",-80.79027,28.62344,2022-04-19,15
"A69-9007-6142",-80.79027,28.62344,2022-04-20,36
"A69-9007-6142",-80.79027,28.62344,2022-04-23,2
"A69-9007-6142",-80.79027,28.62344,2022-05-09,1
"A69-9007-6142",-80.79027,28.62344,2022-05-13,6
"A69-9007-6142",-80.79027,28.62344,2022-05-14,1
"A69-9007-6142",-80.79027,28.62344,2022-05-15,3
"A69-9007-6142",-80.79027,28.62344,2022-05-16,14
"A69-9007-6142",-80.79027,28.62344,2022-05-18,1
"A69-9007-6142",-80.79027,28.62344,2022-05-27,1
"A69-9007-6142",-80.79027,28.62344,2022-05-29,3
"A69-9007-6142",-80.79027,28.62344,2022-05-30,5
"A69-9007-6142",-80.79027,28.62344,2022-05-31,39
"A69-9007-6142",-80.79027,28.62344,2022-06-01,1
"A69-9007-6142",-80.79027,28.62344,2022-06-02,4
"A69-9007-6142",-80.79027,28.62344,2022-06-03,3
"A69-9007-6142",-80.79027,28.62344,2022-06-04,22
"A69-9007-6142",-80.79027,28.62344,2022-06-05,2
"A69-9007-6142",-80.79027,28.62344,2022-06-06,5
"A69-9007-6142",-80.79027,28.62344,2022-06-17,1
"A69-9007-6142",-80.79027,28.62344,2022-06-22,1
"A69-9007-6142",-80.79027,28.62344,2022-12-27,1
"A69-9007-6142",-80.79027,28.62344,2023-01-12,10
"A69-9007-6142",-80.79027,28.62344,2023-01-23,1
"A69-9007-6142",-80.79027,28.62344,2023-02-10,2
"A69-9007-6142",-80.79027,28.62344,2023-02-12,14
"A69-9007-6142",-80.79027,28.62344,2023-02-13,140
"A69-9007-6142",-80.79027,28.62344,2023-02-14,76
"A69-9007-6142",-80.79027,28.62344,2023-02-15,135
"A69-9007-6142",-80.79027,28.62344,2023-02-16,85
"A69-9007-6142",-80.79027,28.62344,2023-02-17,1
"A69-9007-6142",-80.79027,28.62344,2023-02-20,16
"A69-9007-6142",-80.79027,28.62344,2023-02-22,11
"A69-9007-6142",-80.79027,28.62344,2023-02-23,1
"A69-9007-6142",-80.79027,28.62344,2023-02-24,1
"A69-9007-6142",-80.79027,28.62344,2023-03-04,34
"A69-9007-6142",-80.79027,28.62344,2023-03-05,90
"A69-9007-6142",-80.79027,28.62344,2023-03-06,126
"A69-9007-6142",-80.79027,28.62344,2023-03-07,109
"A69-9007-6142",-80.79027,28.62344,2023-03-08,176
"A69-9007-6142",-80.79027,28.62344,2023-03-09,191
"A69-9007-6142",-80.79027,28.62344,2023-03-10,60
"A69-9007-6142",-80.79027,28.62344,2023-03-11,62
"A69-9007-6142",-80.79027,28.62344,2023-03-12,4
"A69-9007-6142",-80.79027,28.62344,2023-03-13,5
"A69-9007-6142",-80.79027,28.62344,2023-03-14,16
"A69-9007-6142",-80.79027,28.62344,2023-03-15,13
"A69-9007-6142",-80.79027,28.62344,2023-03-16,16
"A69-9007-6142",-80.79027,28.62344,2023-05-05,2
"A69-9007-6142",-80.79027,28.62344,2023-05-10,2
"A69-9007-6142",-80.79027,28.62344,2023-05-11,15
"A69-9007-6142",-80.79027,28.62344,2023-05-15,11
"A69-9007-6142",-80.79027,28.62344,2023-05-16,4
"A69-9007-6142",-80.78791,28.62577,2022-02-17,2
"A69-9007-6142",-80.78791,28.62577,2022-03-08,2
"A69-9007-6142",-80.78791,28.62577,2022-03-09,74
"A69-9007-6142",-80.78791,28.62577,2022-03-10,162
"A69-9007-6142",-80.78791,28.62577,2022-03-11,82
"A69-9007-6142",-80.78791,28.62577,2022-03-12,31
"A69-9007-6142",-80.78791,28.62577,2022-03-13,43
"A69-9007-6142",-80.78791,28.62577,2022-03-14,113
"A69-9007-6142",-80.78791,28.62577,2022-03-15,81
"A69-9007-6142",-80.78791,28.62577,2022-03-16,183
"A69-9007-6142",-80.78791,28.62577,2022-03-17,150
"A69-9007-6142",-80.78791,28.62577,2022-03-18,87
"A69-9007-6142",-80.78791,28.62577,2022-03-19,90
"A69-9007-6142",-80.78791,28.62577,2022-03-20,231
"A69-9007-6142",-80.78791,28.62577,2022-03-21,126
"A69-9007-6142",-80.78791,28.62577,2022-03-22,17
"A69-9007-6142",-80.78791,28.62577,2022-03-23,43
"A69-9007-6142",-80.78791,28.62577,2022-03-24,72
"A69-9007-6142",-80.78791,28.62577,2022-03-25,140
"A69-9007-6142",-80.78791,28.62577,2022-03-26,3
"A69-9007-6142",-80.78791,28.62577,2022-03-27,19
"A69-9007-6142",-80.78791,28.62577,2022-03-28,6
"A69-9007-6142",-80.78791,28.62577,2022-03-29,3
"A69-9007-6142",-80.78791,28.62577,2022-03-30,33
"A69-9007-6142",-80.78791,28.62577,2022-03-31,12
"A69-9007-6142",-80.78791,28.62577,2022-04-01,127
"A69-9007-6142",-80.78791,28.62577,2022-04-02,154
"A69-9007-6142",-80.78791,28.62577,2022-04-03,211
"A69-9007-6142",-80.78791,28.62577,2022-04-04,168
"A69-9007-6142",-80.78791,28.62577,2022-04-05,86
"A69-9007-6142",-80.78791,28.62577,2022-04-06,12
"A69-9007-6142",-80.78791,28.62577,2022-04-07,18
"A69-9007-6142",-80.78791,28.62577,2022-04-08,25
"A69-9007-6142",-80.78791,28.62577,2022-04-12,16
"A69-9007-6142",-80.78791,28.62577,2022-04-13,72
"A69-9007-6142",-80.78791,28.62577,2022-04-14,42
"A69-9007-6142",-80.78791,28.62577,2022-04-15,55
"A69-9007-6142",-80.78791,28.62577,2022-04-16,60
"A69-9007-6142",-80.78791,28.62577,2022-04-17,6
"A69-9007-6142",-80.78791,28.62577,2022-04-18,111
"A69-9007-6142",-80.78791,28.62577,2022-04-19,138
"A69-9007-6142",-80.78791,28.62577,2022-04-20,115
"A69-9007-6142",-80.78791,28.62577,2022-04-21,63
"A69-9007-6142",-80.78791,28.62577,2022-04-22,89
"A69-9007-6142",-80.78791,28.62577,2022-04-23,52
"A69-9007-6142",-80.78791,28.62577,2022-04-24,32
"A69-9007-6142",-80.78791,28.62577,2022-04-25,2
"A69-9007-6142",-80.78791,28.62577,2022-04-26,18
