"collectioncode","catalognumber","scientificname","commonname","datelastmodified","detectedby","receiver_group","station","receiver","bottom_depth","receiver_depth","tagname","codespace","sensorname","sensorraw","sensortype","sensorvalue","sensorunit","datecollected","timezone","longitude","latitude","the_geom","yearcollected","monthcollected","daycollected","julianday","timeofday","local_area","notes","citation","unqdetecid","contact_poc","contact_pi"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-08-20","HCTS","HCTS","Gator Creek","release",NA,NA,"A69-9007-6151","","",NA,NA,NA,"","2022-03-31 12:00:00","UTC",-80.78707,28.62756,"0101000020E61000006A6AD95A5F3254C07B4FE5B4A7A03C40",2022,3,31,90,12,"Gator Creek","AGE: Y; AGE_UNITS: Y,M,O","Fusco, K., et al. 2021.","HCTS-A69-9007-6151-2022-03-31-release-A69-9007-6151","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",179,NA,NA,"ADC","2022-03-31 17:09:36","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,31,90,17.16,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-67977","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",180,NA,NA,"ADC","2022-03-31 17:18:01","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,31,90,17.3002777777778,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-67981","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",180,NA,NA,"ADC","2022-03-31 17:22:45","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,3,31,90,17.3791666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-67982","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:25:16","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.421111111111111,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68158","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:30:04","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.501111111111111,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68163","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:34:43","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.578611111111111,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68168","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:47:40","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.794444444444444,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68191","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:51:57","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.865833333333333,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68193","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 00:55:39","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,0.9275,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68200","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 01:03:08","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,1.05222222222222,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68206","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487551-W","487551",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 01:14:26","UTC",-80.79027,28.62344,"0101000020E6100000A3409FC8933254C0AB048BC3999F3C40",2022,4,1,91,1.24055555555556,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68219","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
"HCTS","HCTS-A69-9007-6151-2022-03-31","Limulus polyphemus","horseshoe crab","2023-10-18","HCTSA","HCTSA","487549-NE","487549",1.2,0.3,"A69-9007-6151","A69-9007","A69-9007-6151",188,NA,NA,"ADC","2022-04-01 01:17:48","UTC",-80.78791,28.62577,"0101000020E61000003F8C101E6D3254C063D1747632A03C40",2022,4,1,91,1.29666666666667,"Titusville","","Fusco, K., et al. 2021.","HCTSA-A69-9007-6151-68230","Kirk Fusco (kirk.fusco@floridadep.gov)","Kirk Fusco (kirk.fusco@floridadep.gov)"
