"","Project_shortcode","ANIMAL_ID","TAG_TYPE","TAG_MANUFACTURER","TAG_MODEL","Acoustic_Tag_Type","TAG_SERIAL_NUMBER","TAG_ID_CODE","TAG_CODE_SPACE","Deployment_Type","TAG_IMPLANT_TYPE","TAG_IMPLANT_METHOD","TAG_ACTIVATION_DATE","EST_TAG_LIFE","TAGGER","TAG_OWNER_PI","TAG_OWNER_ORGANIZATION","COMMON_NAME_E","SCIENTIFIC_NAME","CAPTURE_LOCATION","CAPTURE_LATITUDE","CAPTURE_LONGITUDE","WILD_OR_HATCHERY","STOCK","LENGTH..m.","WEIGHT..kg.","LENGTH_TYPE","LENGTH2..m.","LENGTH2_TYPE","LIFE_STAGE","AGE","AGE_UNITS","SEX","DNA_SAMPLE_TAKEN","RELEASE_LOCATION","RELEASE_LATITUDE","RELEASE_LONGITUDE","UTC_RELEASE_DATE_TIME","HARVEST_DATE","CAPTURE_DEPTH..m.","COMMENTS"
"1","HCTS","A69-9007-6138","Acoustic","VEMCO","V9T-2x","Sensor","1500652","6138","A69-9007-6138","Initial","External","epoxy to carapace",2022-02-17 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-02-17 12:00:00,NA,NA,NA
"2","HCTS","A69-9007-6139","Acoustic","VEMCO","V9T-2x","Sensor","1500653","6139","A69-9007-6139","Initial","External","epoxy to carapace",2022-02-17 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","M","N","Gator Creek",28.627559,-80.78707,2022-02-17 12:00:00,NA,NA,NA
"3","HCTS","A69-9007-6140","Acoustic","VEMCO","V9T-2x","Sensor","1500654","6140","A69-9007-6140","Initial","External","epoxy to carapace",2022-02-17 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-02-17 12:00:00,NA,NA,NA
"4","HCTS","A69-9007-6141","Acoustic","VEMCO","V9T-2x","Sensor","1500655","6141","A69-9007-6141","Initial","External","epoxy to carapace",2022-02-17 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-02-17 12:00:00,NA,NA,NA
"5","HCTS","A69-9007-6142","Acoustic","VEMCO","V9T-2x","Sensor","1500656","6142","A69-9007-6142","Initial","External","epoxy to carapace",2022-02-17 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","M","N","Gator Creek",28.627559,-80.78707,2022-02-17 12:00:00,NA,NA,NA
"6","HCTS","A69-9007-6143","Acoustic","VEMCO","V9T-2x","Sensor","1500657","6143","A69-9007-6143","Initial","External","epoxy to carapace",2022-03-09 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"M","Y,M,O","M","N","Gator Creek",28.627559,-80.78707,2022-03-09 12:00:00,NA,NA,NA
"7","HCTS","A69-9007-6144","Acoustic","VEMCO","V9T-2x","Sensor","1500658","6144","A69-9007-6144","Initial","External","epoxy to carapace",2022-03-09 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","M","N","Gator Creek",28.627559,-80.78707,2022-03-09 12:00:00,NA,NA,NA
"8","HCTS","A69-9007-6145","Acoustic","VEMCO","V9T-2x","Sensor","1500659","6145","A69-9007-6145","Initial","External","epoxy to carapace",2022-03-09 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"Y","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-03-09 12:00:00,NA,NA,NA
"9","HCTS","A69-9007-6146","Acoustic","VEMCO","V9T-2x","Sensor","1500660","6146","A69-9007-6146","Initial","External","epoxy to carapace",2022-03-09 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"M","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-03-09 12:00:00,NA,NA,NA
"10","HCTS","A69-9007-6147","Acoustic","VEMCO","V9T-2x","Sensor","1500661","6147","A69-9007-6147","Initial","External","epoxy to carapace",2022-03-31 12:00:00,530,"Kirk Fusco","Kirk Fusco","FDEP","American horseshoe crab","Limulus polyphemus","Gator Creek",28.627559,-80.78707,"W",NA,NA,NA,NA,NA,NA,NA,"M","Y,M,O","F","N","Gator Creek",28.627559,-80.78707,2022-03-31 12:00:00,NA,NA,NA
