Tag,Sex,Age,Tag Date,,,,,,
A69-9007-6138,F,Y,2/17/2022,,,,,,
A69-9007-6139,M,Y,2/17/2022,,,,,,
A69-9007-6140,F,Y,2/17/2022,,,,,,
A69-9007-6141,F,Y,2/17/2022,,,,,,
A69-9007-6142,M,Y,2/17/2022,,,,,,
A69-9007-6143,M,M,3/9/2022,,,,,,
A69-9007-6144,M,Y,3/9/2022,,,,,,
A69-9007-6145,F,Y,3/9/2022,,,,,,
A69-9007-6146,F,M,3/9/2022,,,,,,
A69-9007-6147,F,M,3/31/2022,,,,,,
A69-9007-6148,M,M,3/31/2022,,,,,,
A69-9007-6149,M,Y,3/31/2022,,,,,,
A69-9007-6150,M,M,3/31/2022,,,,,,
A69-9007-6151,M,Y,3/31/2022,,,,,,
A69-9007-6152,M,M,3/31/2022,,,,,,
