Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
1/25/2022 13:07,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 13:12,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 13:17,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 13:20,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 13:22,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 13:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 13:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 13:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 13:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:26,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:36,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:47,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 14:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:11,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 15:19,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:21,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 15:21,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 15:29,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:30,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 15:32,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 15:39,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:40,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 15:42,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 15:49,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 15:50,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 15:52,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 16:00,VR2Tx-487549,A69-1601-62975,,,,,487549-NE,,,,
1/25/2022 16:00,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 16:03,VR2Tx-487549,A69-1601-62976,,,,,487549-NE,,,,
1/25/2022 16:11,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 16:20,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 16:29,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 16:39,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 16:50,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:02,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:24,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:34,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:45,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 17:56,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:06,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:16,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:27,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:37,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 18:55,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:05,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:14,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:24,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:35,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:46,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 19:57,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 20:08,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 20:18,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 20:28,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 20:39,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 20:50,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:00,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:10,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:20,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:31,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:42,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 21:53,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 22:03,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
1/25/2022 22:13,VR2Tx-487549,A69-1601-62974,,,,,487549-NE,,,,
