"","Release.date","Signal","Sex","Age","Group","Release.site"
"1",2022-02-17 12:00:00,6138,"F","Y","2022","Gator Creek"
"2",2022-02-17 12:00:00,6139,"M","Y","2022","Gator Creek"
"3",2022-02-17 12:00:00,6140,"F","Y","2022","Gator Creek"
"4",2022-02-17 12:00:00,6141,"F","Y","2022","Gator Creek"
"5",2022-02-17 12:00:00,6142,"M","Y","2022","Gator Creek"
"6",2022-03-09 12:00:00,6143,"M","M","2022","Gator Creek"
"7",2022-03-09 12:00:00,6144,"M","Y","2022","Gator Creek"
"8",2022-03-09 12:00:00,6145,"F","Y","2022","Gator Creek"
"9",2022-03-09 12:00:00,6146,"F","M","2022","Gator Creek"
"10",2022-03-31 12:00:00,6147,"F","M","2022","Gator Creek"
"11",2022-03-31 12:00:00,6148,"M","M","2022","Gator Creek"
"12",2022-03-31 12:00:00,6149,"M","Y","2022","Gator Creek"
"13",2022-03-31 12:00:00,6150,"M","M","2022","Gator Creek"
"14",2022-03-31 12:00:00,6151,"M","Y","2022","Gator Creek"
"15",2022-03-31 12:00:00,6152,"M","M","2022","Gator Creek"
